fips,location,svi_rpl_themes,ep_pov150,ep_uninsur,ep_noveh,ep_age65,centroid_lat,centroid_lon
04013010102,Census Tract 101.02; Maricopa County; Arizona,0.0467,14.5,3.7,0.5,40.7,33.775177,-111.463979
04013010103,Census Tract 101.03; Maricopa County; Arizona,0.0409,5.0,1.6,1.4,24.8,33.758967,-111.745938
04013010104,Census Tract 101.04; Maricopa County; Arizona,0.0027,7.6,1.5,2.7,72.2,33.736713,-111.676743
04013030401,Census Tract 304.01; Maricopa County; Arizona,0.0616,6.6,3.9,0.0,54.4,33.814331,-111.927984
04013030402,Census Tract 304.02; Maricopa County; Arizona,0.4291,14.1,17.2,0.6,37.7,33.843128,-111.956018
04013040502,Census Tract 405.02; Maricopa County; Arizona,0.5246,17.9,4.6,11.6,41.4,33.975512,-112.741293
04013040506,Census Tract 405.06; Maricopa County; Arizona,0.1309,12.7,2.3,2.6,84.8,33.656609,-112.340162
04013040507,Census Tract 405.07; Maricopa County; Arizona,0.3326,12.9,0.6,8.2,87.0,33.654955,-112.360014
04013040512,Census Tract 405.12; Maricopa County; Arizona,0.0411,13.1,0.6,3.1,92.0,33.676139,-112.393366
04013040513,Census Tract 405.13; Maricopa County; Arizona,0.031,10.4,2.4,3.3,85.6,33.67356,-112.365603
04013040514,Census Tract 405.14; Maricopa County; Arizona,0.086,6.4,2.0,1.0,83.7,33.674269,-112.341005
04013040515,Census Tract 405.15; Maricopa County; Arizona,0.4341,22.3,12.8,0.3,43.6,33.811483,-112.776038
04013040516,Census Tract 405.16; Maricopa County; Arizona,0.0743,9.1,2.1,4.8,46.5,33.697689,-112.704197
04013040522,Census Tract 405.22; Maricopa County; Arizona,0.1922,13.4,2.3,7.5,86.6,33.68854,-112.374491
04013040523,Census Tract 405.23; Maricopa County; Arizona,0.0649,8.8,2.1,1.9,88.7,33.691115,-112.354738
04013040524,Census Tract 405.24; Maricopa County; Arizona,0.2272,17.7,8.4,2.9,78.0,33.674635,-112.418587
04013040525,Census Tract 405.25; Maricopa County; Arizona,0.0728,10.8,0.6,1.0,80.9,33.661751,-112.430006
04013040526,Census Tract 405.26; Maricopa County; Arizona,0.1406,12.0,1.6,1.9,89.7,33.645216,-112.444069
04013040527,Census Tract 405.27; Maricopa County; Arizona,0.1587,9.5,4.4,2.2,46.3,33.6463,-112.43015
04013040528,Census Tract 405.28; Maricopa County; Arizona,0.0661,9.6,3.7,0.4,79.8,33.653625,-112.400211
04013040529,Census Tract 405.29; Maricopa County; Arizona,0.1212,6.4,0.5,2.5,89.3,33.662549,-112.393828
04013040530,Census Tract 405.30; Maricopa County; Arizona,0.3467,12.5,6.4,6.0,25.2,33.645738,-112.384215
04013040531,Census Tract 405.31; Maricopa County; Arizona,0.591,23.7,2.3,10.9,56.3,33.646545,-112.369464
04013040532,Census Tract 405.32; Maricopa County; Arizona,0.056,10.0,4.8,0.0,6.0,33.708691,-112.302615
04013040533,Census Tract 405.33; Maricopa County; Arizona,0.0743,7.1,2.5,0.5,9.5,33.718101,-112.325365
04013040534,Census Tract 405.34; Maricopa County; Arizona,0.0112,10.0,0.0,0.7,80.6,33.737413,-112.33221
04013040535,Census Tract 405.35; Maricopa County; Arizona,0.0132,6.0,1.1,0.0,26.8,33.797885,-112.36093
04013040536,Census Tract 405.36; Maricopa County; Arizona,0.054,4.9,1.4,0.7,7.6,33.742729,-112.31855
04013040537,Census Tract 405.37; Maricopa County; Arizona,0.0087,4.6,1.5,0.0,26.8,33.768084,-112.307796
04013040538,Census Tract 405.38; Maricopa County; Arizona,0.2803,9.8,3.0,1.4,19.3,33.71025,-112.393248
04013040539,Census Tract 405.39; Maricopa County; Arizona,0.4609,6.8,2.9,3.9,23.1,33.856041,-112.548955
04013040540,Census Tract 405.40; Maricopa County; Arizona,0.3193,13.6,11.2,0.0,11.2,33.685974,-112.48837
04013040541,Census Tract 405.41; Maricopa County; Arizona,0.5127,19.4,4.8,0.7,11.2,33.750849,-112.554491
04013050603,Census Tract 506.03; Maricopa County; Arizona,0.6589,18.5,21.3,2.3,13.3,33.126878,-112.933306
04013050604,Census Tract 506.04; Maricopa County; Arizona,0.7574,19.2,25.1,6.4,13.7,33.315874,-112.751072
04013050609,Census Tract 506.09; Maricopa County; Arizona,0.2474,10.7,8.3,1.7,25.0,33.452435,-112.529372
04013050611,Census Tract 506.11; Maricopa County; Arizona,0.6108,17.5,12.5,1.0,7.2,33.37976,-112.517674
04013050612,Census Tract 506.12; Maricopa County; Arizona,0.0681,7.7,8.1,0.8,8.1,33.447513,-112.498445
04013050613,Census Tract 506.13; Maricopa County; Arizona,0.4769,6.2,8.9,0.0,8.5,33.42149,-112.502698
04013050614,Census Tract 506.14; Maricopa County; Arizona,0.4104,22.4,16.5,0.0,9.3,33.426765,-112.545671
04013050615,Census Tract 506.15; Maricopa County; Arizona,0.5657,12.8,4.7,2.3,12.0,33.425378,-112.570986
04013050616,Census Tract 506.16; Maricopa County; Arizona,0.2933,12.3,29.0,0.0,12.2,33.419355,-112.6137
04013050617,Census Tract 506.17; Maricopa County; Arizona,0.8497,27.0,6.9,10.4,5.2,33.373962,-112.606871
04013050618,Census Tract 506.18; Maricopa County; Arizona,0.1086,3.4,3.5,0.7,7.8,33.484692,-112.504175
04013050619,Census Tract 506.19; Maricopa County; Arizona,0.1924,6.7,7.4,0.6,18.4,33.492396,-112.489602
04013050620,Census Tract 506.20; Maricopa County; Arizona,0.0324,3.4,2.4,3.2,9.5,33.544221,-112.559881
04013050621,Census Tract 506.21; Maricopa County; Arizona,0.458,17.8,5.4,0.7,10.1,33.558742,-112.745802
04013050701,Census Tract 507.01; Maricopa County; Arizona,0.7779,22.2,13.1,3.0,8.6,33.382419,-112.57585
04013050702,Census Tract 507.02; Maricopa County; Arizona,0.9092,28.9,14.8,10.0,8.8,33.373399,-112.583884
04013060801,Census Tract 608.01; Maricopa County; Arizona,0.9824,34.4,17.6,7.9,18.9,33.632771,-112.329006
04013060802,Census Tract 608.02; Maricopa County; Arizona,0.6971,22.4,4.9,1.2,9.7,33.618462,-112.315925
04013060901,Census Tract 609.01; Maricopa County; Arizona,0.7812,23.8,18.3,0.5,5.5,33.619074,-112.334669
04013060902,Census Tract 609.02; Maricopa County; Arizona,0.9318,42.1,11.9,10.2,18.1,33.610925,-112.327403
04013060903,Census Tract 609.03; Maricopa County; Arizona,0.5964,13.4,16.1,1.5,5.1,33.602894,-112.320829
04013060904,Census Tract 609.04; Maricopa County; Arizona,0.8067,31.6,16.2,4.7,9.6,33.602426,-112.311409
04013061010,Census Tract 610.10; Maricopa County; Arizona,0.177,9.4,5.4,1.1,20.5,33.496736,-112.358674
04013061011,Census Tract 610.11; Maricopa County; Arizona,0.442,15.7,4.7,2.2,6.3,33.532807,-112.326256
04013061013,Census Tract 610.13; Maricopa County; Arizona,0.3062,21.5,6.2,1.1,8.5,33.500333,-112.325913
04013061014,Census Tract 610.14; Maricopa County; Arizona,0.4043,20.3,6.3,0.0,6.4,33.488665,-112.327457
04013061015,Census Tract 610.15; Maricopa County; Arizona,0.5499,9.3,7.9,6.1,15.0,33.471502,-112.329498
04013061017,Census Tract 610.17; Maricopa County; Arizona,0.0,,,,4.1,33.469733,-112.444025
04013061018,Census Tract 610.18; Maricopa County; Arizona,0.1943,4.7,2.7,1.6,86.2,33.485044,-112.394973
04013061020,Census Tract 610.20; Maricopa County; Arizona,0.3771,9.8,9.4,1.8,14.0,33.485035,-112.368267
04013061021,Census Tract 610.21; Maricopa County; Arizona,0.1469,6.3,8.5,0.5,7.0,33.486153,-112.349408
04013061024,Census Tract 610.24; Maricopa County; Arizona,0.4826,5.6,9.4,2.1,13.5,33.416609,-112.408364
04013061026,Census Tract 610.26; Maricopa County; Arizona,0.6522,18.9,14.5,2.4,13.7,33.631662,-112.420672
04013061027,Census Tract 610.27; Maricopa County; Arizona,0.5424,11.9,22.4,3.9,11.1,33.630818,-112.403497
04013061028,Census Tract 610.28; Maricopa County; Arizona,0.7907,22.7,9.1,12.2,14.2,33.631085,-112.375891
04013061029,Census Tract 610.29; Maricopa County; Arizona,0.619,15.7,7.9,4.8,16.6,33.632454,-112.349019
04013061031,Census Tract 610.31; Maricopa County; Arizona,0.337,15.6,2.7,2.7,11.7,33.604082,-112.432484
04013061032,Census Tract 610.32; Maricopa County; Arizona,0.1109,7.0,5.2,0.0,9.5,33.617653,-112.401633
04013061033,Census Tract 610.33; Maricopa County; Arizona,0.4881,11.2,7.9,5.5,10.6,33.617515,-112.385707
04013061034,Census Tract 610.34; Maricopa County; Arizona,0.342,7.4,6.8,1.6,8.1,33.617318,-112.368902
04013061035,Census Tract 610.35; Maricopa County; Arizona,0.4452,12.3,13.2,0.0,13.9,33.616724,-112.349242
04013061036,Census Tract 610.36; Maricopa County; Arizona,0.1435,6.0,3.7,4.1,12.4,33.588855,-112.403462
04013061037,Census Tract 610.37; Maricopa County; Arizona,0.1534,7.1,6.3,0.0,9.7,33.603026,-112.385627
04013061038,Census Tract 610.38; Maricopa County; Arizona,0.6211,28.2,13.4,3.3,8.3,33.589543,-112.386154
04013061039,Census Tract 610.39; Maricopa County; Arizona,0.1414,3.2,5.2,0.6,8.6,33.596795,-112.357173
04013061040,Census Tract 610.40; Maricopa County; Arizona,0.4974,16.1,7.6,0.0,7.8,33.601381,-112.336754
04013061041,Census Tract 610.41; Maricopa County; Arizona,0.4966,21.2,11.7,1.1,5.2,33.600365,-112.330035
04013061042,Census Tract 610.42; Maricopa County; Arizona,0.6738,26.1,4.5,2.6,36.5,33.588045,-112.314565
04013061043,Census Tract 610.43; Maricopa County; Arizona,0.404,15.5,15.9,0.5,8.1,33.572599,-112.334395
04013061044,Census Tract 610.44; Maricopa County; Arizona,0.2235,14.4,4.9,1.4,9.9,33.563576,-112.392871
04013061045,Census Tract 610.45; Maricopa County; Arizona,0.4946,10.7,13.6,1.5,21.2,33.527437,-112.399941
04013061046,Census Tract 610.46; Maricopa County; Arizona,0.8828,26.1,17.1,7.5,10.3,33.532092,-112.351188
04013061047,Census Tract 610.47; Maricopa County; Arizona,0.0982,7.2,3.8,0.9,12.3,33.516521,-112.35099
04013061048,Census Tract 610.48; Maricopa County; Arizona,0.3234,13.0,5.2,2.6,14.5,33.471456,-112.35226
04013061049,Census Tract 610.49; Maricopa County; Arizona,0.1199,19.2,1.0,0.0,12.0,33.429078,-112.402772
04013061050,Census Tract 610.50; Maricopa County; Arizona,0.5036,13.4,9.3,1.6,12.0,33.427927,-112.427794
04013061051,Census Tract 610.51; Maricopa County; Arizona,0.1808,3.9,7.7,3.6,10.9,33.442908,-112.420323
04013061052,Census Tract 610.52; Maricopa County; Arizona,0.5682,14.1,11.6,2.6,6.5,33.443461,-112.398237
04013061053,Census Tract 610.53; Maricopa County; Arizona,0.8107,28.6,12.9,3.6,7.3,33.455859,-112.403911
04013061054,Census Tract 610.54; Maricopa County; Arizona,0.378,8.7,4.9,1.9,31.6,33.468493,-112.404663
04013061055,Census Tract 610.55; Maricopa County; Arizona,0.4127,13.2,6.9,2.9,7.8,33.498004,-112.39678
04013061056,Census Tract 610.56; Maricopa County; Arizona,0.1127,5.5,5.7,0.0,9.5,33.487305,-112.450702
04013061057,Census Tract 610.57; Maricopa County; Arizona,0.4477,10.0,7.0,0.0,10.7,33.454189,-112.44438
04013061058,Census Tract 610.58; Maricopa County; Arizona,0.2467,14.6,4.2,0.7,7.2,33.404347,-112.410933
04013061059,Census Tract 610.59; Maricopa County; Arizona,0.1354,14.6,4.1,1.0,9.2,33.619656,-112.445863
04013061060,Census Tract 610.60; Maricopa County; Arizona,0.5198,9.0,18.0,0.0,15.0,33.61588,-112.433914
04013061061,Census Tract 610.61; Maricopa County; Arizona,0.1287,6.8,6.2,0.0,12.4,33.632254,-112.431058
04013061062,Census Tract 610.62; Maricopa County; Arizona,0.2629,11.1,4.5,3.5,12.0,33.632519,-112.44869
04013061063,Census Tract 610.63; Maricopa County; Arizona,0.4629,24.7,20.6,0.0,10.0,33.455442,-112.361033
04013061064,Census Tract 610.64; Maricopa County; Arizona,0.1912,9.4,8.6,1.7,12.2,33.470808,-112.367742
04013061100,Census Tract 611; Maricopa County; Arizona,0.415,13.9,0.3,1.2,0.0,33.533337,-112.370087
04013061200,Census Tract 612; Maricopa County; Arizona,0.9942,47.8,12.2,7.3,9.1,33.444908,-112.342681
04013061300,Census Tract 613; Maricopa County; Arizona,0.8365,36.6,32.6,10.3,16.2,33.436951,-112.35778
04013061401,Census Tract 614.01; Maricopa County; Arizona,0.9312,39.7,15.3,9.9,10.5,33.432526,-112.350416
04013061402,Census Tract 614.02; Maricopa County; Arizona,0.9404,28.2,15.0,13.9,10.7,33.427092,-112.343562
04013071503,Census Tract 715.03; Maricopa County; Arizona,0.2957,17.4,0.9,10.1,78.9,33.61324,-112.278745
04013071504,Census Tract 715.04; Maricopa County; Arizona,0.0327,17.0,0.0,1.4,82.8,33.626643,-112.281507
04013071505,Census Tract 715.05; Maricopa County; Arizona,0.4229,18.7,1.9,5.6,62.5,33.62551,-112.299631
04013071506,Census Tract 715.06; Maricopa County; Arizona,0.1662,17.3,4.2,1.9,76.2,33.62608,-112.265612
